Publishing House;Street;Postal Code;City;Country
CARLSEN Verlag GmbH;Völckersstraße 14 - 20;22765;Hamburg;Germany
Trauner Verlag + Buchservice GmbH;Köglstraße 14;4020;Linz;Austria
Springer-Verlag GmbH;Tiergartenstrasse 17;69121;Heidelberg;Germany
Cornelsen Verlag GmbH;Mecklenburgische Straße 53;14197;Berlin;Germany
Ernst Klett Verlag GmbH;Rotebühlstraße 77;70178;Stuttgart;Germany
Georg Westermann Verlag, Druckerei und Kartographische Anstalt GmbH & Co. KG;Georg-Westermann-Allee 66;38104;Braunschweig;Germany
Weltbild Verlag GmbH;Sterneckstraße 33;5020;Salzburg;Austria
WEKA Holding GmbH & Co. KG;Römerstraße 4;86438;Kissing;Germany
Verlagsgruppe Random House GmbH;Neumarkter Straße 28;81673;Munich;Germany
Vogel Communications Group GmbH & Co.KG;Max-Planck-Straße 7/9;97082;Würzburg;Germany